"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","96800","B","","","0"
"2015","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","98800","B","","","0"
"2016","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","99700","B","","","0"
"2017","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","101500","A","","","0"
"2018","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","105800","A","","","0"
"2019","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","103200","A","","","0"
"2020","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","108100","A","","","0"
"2021","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","108600","A","","","0"
"2022","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","106300","A","","","0"
"2023","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","109200","A","","","0"
"2009","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","35400","C","","","0"
"2010","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","32600","C","","","0"
"2011","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","31000","C","","","0"
"2012","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","32300","C","","","0"
"2013","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36400","C","","","0"
"2014","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36400","C","","","0"
"2015","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","29700","B","","","0"
"2016","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","34000","B","","","0"
"2017","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","35100","B","","","0"
"2018","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36300","B","","","0"
"2019","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36900","B","","","0"
"2020","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","42000","B","","","0"
"2021","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","43500","B","","","0"
"2022","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","39800","A","","","0"
"2023","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","41000","A","","","0"


