"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","30200","C","","","0"
"2020","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","32300","C","","","0"
"2021","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","38200","C","","","0"
"2022","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","36100","B","","","0"
"2023","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","36900","B","","","0"
"2009","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","4900","D","","","0"
"2010","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","5300","D","","","0"
"2011","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","5700","D","","","0"
"2012","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","5500","D","","","0"
"2013","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","4900","D","","","0"
"2014","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","5000","C","","","0"
"2015","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","6500","D","","","0"
"2016","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","6800","C","","","0"
"2017","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","6600","C","","","0"
"2018","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","5700","C","","","0"
"2019","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","6200","C","","","0"
"2020","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","17900","B","","","0"
"2021","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","12400","B","","","0"
"2022","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","7400","B","","","0"
"2023","British Columbia","2021A000259","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414771","13.6.1","7700","B","","","0"
"2009","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","6500","D","","","0"
"2010","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","6600","D","","","0"
"2011","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","7000","D","","","0"
"2012","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","8000","C","","","0"
"2013","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","7600","D","","","0"
"2014","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","7500","D","","","0"
"2015","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","8300","C","","","0"
"2016","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","9800","C","","","0"
"2017","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","10100","C","","","0"
"2018","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","9000","C","","","0"
"2019","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","9300","C","","","0"
"2020","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","22200","A","","","0"
"2021","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","15700","B","","","0"
"2022","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","10900","A","","","0"
"2023","British Columbia","2021A000259","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96414772","13.6.2","11700","B","","","0"
"2009","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2010","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","1500","E","","","0"
"2011","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2012","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","1600","E","","","0"
"2013","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2014","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2015","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2016","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2017","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2018","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","700","E","","","0"
"2019","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","1400","E","","","0"
"2020","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","10100","D","","","0"
"2021","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","","F","","","0"
"2022","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","1500","D","","","0"
"2023","British Columbia","2021A000259","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96414784","13.6.14","1800","B","","","0"
"2009","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","72100","A","","","0"
"2010","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","71000","B","","","0"
"2011","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","70800","B","","","0"
"2012","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","72300","A","","","0"
"2013","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","75500","B","","","0"
"2014","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","75000","A","","","0"
"2015","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","73700","B","","","0"
"2016","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","74200","B","","","0"
"2017","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","80100","A","","","0"
"2018","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","77300","A","","","0"
