"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Quebec","2021A000224","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413304","7.4.14","25000","C","","","0"
"2021","Quebec","2021A000224","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413304","7.4.14","29900","C","","","0"
"2022","Quebec","2021A000224","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413304","7.4.14","32700","B","","","0"
"2023","Quebec","2021A000224","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413304","7.4.14","34700","A","","","0"
"2009","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","9800","B","","","0"
"2010","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","9700","B","","","0"
"2011","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","9100","B","","","0"
"2012","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","9500","B","","","0"
"2013","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","10000","B","","","0"
"2014","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","10400","C","","","0"
"2015","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","10800","B","","","0"
"2016","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","11300","B","","","0"
"2017","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","11500","B","","","0"
"2018","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","11300","B","","","0"
"2019","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","11500","B","","","0"
"2020","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","19200","A","","","0"
"2021","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","16400","A","","","0"
