"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Ontario","2021A000235","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413544","8.4.14","27700","C","","","0"
"2021","Ontario","2021A000235","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413544","8.4.14","35100","B","","","0"
"2022","Ontario","2021A000235","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413544","8.4.14","33700","B","","","0"
"2023","Ontario","2021A000235","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413544","8.4.14","35000","B","","","0"
"2009","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","7200","C","","","0"
"2010","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","8000","C","","","0"
"2011","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","6500","C","","","0"
"2012","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","6800","C","","","0"
"2013","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","6700","C","","","0"
"2014","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","7300","C","","","0"
"2015","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","7600","C","","","0"
"2016","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","8300","C","","","0"
"2017","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","8700","B","","","0"
"2018","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","8300","B","","","0"
"2019","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","9000","B","","","0"
"2020","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","19200","A","","","0"
"2021","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","15100","B","","","0"
"2022","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","9600","A","","","0"
"2023","Ontario","2021A000235","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413571","8.6.1","9300","A","","","0"
